// PatSize	  TextSize	  Naive-RT	    KMP-RT
      1000	    410000	      6398	      4023
     10000	    410000	      5033	      3575
    100000	    410000	      7240	      3261
        10	    420000	      4186	      3822
       100	    420000	      5623	      5120
      1000	    420000	      5704	      4910
     10000	    420000	      4221	      3587
    100000	    420000	      4791	      3703
        10	    430000	      4358	      4250
       100	    430000	      4933	      4011
      1000	    430000	      4165	      4017
     10000	    430000	      4167	      3995
    100000	    430000	      5448	      2978
        10	    440000	      6405	      4151
       100	    440000	      4462	      4093
      1000	    440000	      4462	      4337
     10000	    440000	      5198	      4619
    100000	    440000	      5064	      2879
        10	    450000	      6186	      5682
       100	    450000	      4959	      4230
      1000	    450000	      5116	      4147
     10000	    450000	      4436	      3721
    100000	    450000	      8002	      4267
        10	    460000	      4413	      4266
       100	    460000	      6366	      4247
      1000	    460000	      4590	      4268
     10000	    460000	      4521	      3863
    100000	    460000	      5376	      4654
        10	    470000	      4525	      5520
       100	    470000	      4779	      5376
      1000	    470000	      4707	      5471
     10000	    470000	      5648	      3950
    100000	    470000	      8162	      3873
        10	    480000	      4584	      4448
       100	    480000	      4706	      5189
      1000	    480000	      4692	      4396
     10000	    480000	      4839	      4013
    100000	    480000	      5677	      4435
        10	    490000	      4619	      4612
       100	    490000	      4666	      4592
      1000	    490000	      6011	      4505
     10000	    490000	      5522	      4340
    100000	    490000	      6075	      4907
        10	    500000	      6098	      4695
       100	    500000	      4941	      4656
      1000	    500000	      5660	      4645
     10000	    500000	      5160	      4177
    100000	    500000	      5830	      3107
        10	    510000	      4899	      5306
       100	    510000	      4922	      5265
      1000	    510000	      5664	      5037
     10000	    510000	      5078	      4255
    100000	    510000	      5982	      4321
        10	    520000	      6789	      4835
       100	    520000	      5686	      4932
      1000	    520000	      5551	      4860
     10000	    520000	      5071	      4390
    100000	    520000	      6014	      3149
        10	    530000	      4999	      4961
       100	    530000	      5235	      5861
      1000	    530000	      5076	      5009
     10000	    530000	      5204	      5055
    100000	    530000	      6316	      6004
        10	    540000	      5397	      5118
       100	    540000	      5229	      5081
      1000	    540000	      5201	      4970
     10000	    540000	      5261	      5153
    100000	    540000	      6302	      4469
        10	    550000	      5232	      5921
       100	    550000	      5349	      5879
      1000	    550000	      5205	      5442
     10000	    550000	      5452	      4709
    100000	    550000	      6461	      3403
        10	    560000	      6065	      5385
       100	    560000	      6258	      5190
      1000	    560000	      5428	      5289
     10000	    560000	      5593	      5885
    100000	    560000	      6794	      3333
        10	    570000	      7031	      5394
       100	    570000	      5998	      5373
      1000	    570000	      6311	      5357
     10000	    570000	      5524	      4797
    100000	    570000	      9681	      4462
        10	    580000	      5472	      5347
       100	    580000	      7581	      5381
      1000	    580000	      5556	      5372
     10000	    580000	      5678	      4929
    100000	    580000	      7136	      3717
        10	    590000	      8916	      5538
       100	    590000	      5559	      5526
      1000	    590000	      6249	      5488
     10000	    590000	      6330	      4964
    100000	    590000	      6890	      3595
        10	    600000	      5706	      5592
       100	    600000	      7376	      5656
      1000	    600000	      6292	      5659
     10000	    600000	      5885	      5037
    100000	    600000	      6962	      7077
        10	    610000	      5777	      5767
       100	    610000	      5897	      5700
      1000	    610000	      5830	      5774
     10000	    610000	      5928	      5100
    100000	    610000	      7125	      4720
        10	    620000	      6651	      5784
       100	    620000	      8040	      5981
      1000	    620000	      5914	      6172
     10000	    620000	      6080	      5996
    100000	    620000	      7242	      5021
        10	    630000	      6582	      6056
       100	    630000	      6618	      6222
      1000	    630000	      6585	      5926
     10000	    630000	      6373	      5274
    100000	    630000	      8535	      3756
        10	    640000	      7362	      6260
       100	    640000	      6468	      5975
      1000	    640000	      6932	      6009
     10000	    640000	      6279	      5541
    100000	    640000	     10031	      4500
        10	    650000	      6688	      5875
       100	    650000	      6272	      6295
      1000	    650000	      6687	      7014
     10000	    650000	      6470	      7477
    100000	    650000	      7515	      4326
        10	    660000	      6257	      7386
       100	    660000	      6166	      6238
      1000	    660000	      6629	      6312
     10000	    660000	      6625	      5696
    100000	    660000	     10414	      5514
        10	    670000	      6995	      7658
       100	    670000	      6857	      6514
      1000	    670000	      6602	      6179
     10000	    670000	      6754	      5699
    100000	    670000	      7968	      3884
        10	    680000	      6658	      6580
       100	    680000	      6642	      6464
      1000	    680000	      6539	      6420
     10000	    680000	      8699	      5849
    100000	    680000	      8138	      5184
        10	    690000	      6838	      6524
       100	    690000	      7095	      6697
      1000	    690000	      9380	      6923
     10000	    690000	      7887	      7353
    100000	    690000	      8242	      4098
        10	    700000	      6891	      6572
       100	    700000	      6728	      6807
      1000	    700000	      6698	      6872
     10000	    700000	      6997	      6024
    100000	    700000	      8462	      6182
        10	    710000	      7971	      6625
       100	    710000	      6823	      6815
      1000	    710000	      6806	      6875
     10000	    710000	      7095	      6999
    100000	    710000	      8474	      4163
        10	    720000	      9157	      7362
       100	    720000	      6883	      7194
      1000	    720000	      7229	      6801
     10000	    720000	      7136	      6076
    100000	    720000	     10119	      4184
        10	    730000	      7101	      6853
       100	    730000	      7063	      6978
      1000	    730000	      7845	      7009
     10000	    730000	      7284	      6011
    100000	    730000	      8542	      5555
        10	    740000	      7222	      6961
       100	    740000	      8296	      6961
      1000	    740000	      7830	      6821
     10000	    740000	      7498	      8290
    100000	    740000	      8804	      4163
        10	    750000	      8338	      6975
       100	    750000	      7200	      7050
      1000	    750000	      7078	      7185
     10000	    750000	      7229	      6513
    100000	    750000	      8756	      4334
        10	    760000	      8455	      7425
       100	    760000	      7425	      7072
      1000	    760000	      7189	      7043
     10000	    760000	     10121	      6226
    100000	    760000	     14106	      4352
        10	    770000	      7814	      7534
       100	    770000	      7675	      7276
      1000	    770000	      7297	      9012
     10000	    770000	      7625	      6402
    100000	    770000	     11320	      4286
        10	    780000	      7449	      8080
       100	    780000	      7291	      7307
      1000	    780000	      7411	      7332
     10000	    780000	      8050	      8054
    100000	    780000	     13633	      6335
        10	    790000	      7928	      7705
       100	    790000	      7706	      7767
      1000	    790000	      7899	      7357
     10000	    790000	      7938	      6855
    100000	    790000	      9312	      5361
        10	    800000	      7564	      7454
       100	    800000	      7653	      7432
      1000	    800000	      7650	      7446
     10000	    800000	      7761	      6731
    100000	    800000	     10465	      5885
        10	    810000	      7635	      7619
       100	    810000	      8034	      8136
      1000	    810000	      8059	      7421
     10000	    810000	      7930	      6818
    100000	    810000	      9686	      6859
        10	    820000	     12078	      7800
       100	    820000	      8158	      7616
      1000	    820000	      7830	      8221
     10000	    820000	      8049	      7287
    100000	    820000	      9656	      4425
        10	    830000	      7783	      7756
       100	    830000	      8036	      7724
      1000	    830000	      8000	      7613
     10000	    830000	     10535	      7003
    100000	    830000	     15096	      4875
        10	    840000	      8577	      7896
       100	    840000	      8777	      8448
      1000	    840000	      8228	      9234
     10000	    840000	      8415	      7266
    100000	    840000	     10022	      6495
        10	    850000	      7944	      9977
       100	    850000	      8516	      7929
      1000	    850000	     10444	      8183
     10000	    850000	     12199	      7127
    100000	    850000	      9899	      4642
        10	    860000	      8076	      8061
       100	    860000	     10913	      8553
      1000	    860000	     10195	      8032
     10000	    860000	      8247	      8162
    100000	    860000	     12756	      4752
        10	    870000	      8474	     10286
       100	    870000	      9710	      8946
      1000	    870000	      8482	      9298
